"","spot_coordinates","cluster_id"
"492","44x34","3"
"493","44x36","4"
"494","44x38","1"
"495","44x40","2"
"496","45x11","3"
"497","45x13","0"
"498","45x15","2"
"499","45x17","0"
"500","45x19","0"
"501","45x21","0"
"502","45x23","1"
"503","45x25","3"
"504","45x27","1"
"505","45x29","0"
"506","45x31","1"
"507","45x33","1"
"508","45x35","1"
"509","45x37","4"
"510","45x39","0"
"511","46x12","0"
"512","46x14","0"
"513","46x16","2"
"514","46x18","1"
"515","46x20","0"
"516","46x22","3"
"517","46x24","0"
"518","46x26","0"
"519","46x28","0"
"520","46x30","1"
"521","46x32","1"
"522","46x34","3"
"523","46x36","0"
"524","46x38","2"
"525","46x40","0"
"526","47x13","0"
"527","47x15","2"
"528","47x17","0"
"529","47x19","1"
"530","47x21","0"
"531","47x23","2"
"532","47x25","0"
"533","47x27","3"
"534","47x29","3"
"535","47x31","0"
"536","47x33","4"
"537","47x35","0"
"538","47x37","2"
"539","47x39","0"
"540","47x41","2"
"541","48x14","0"
"542","48x16","0"
"543","48x18","1"
"544","48x20","0"
"545","48x22","2"
"546","48x24","0"
"547","48x26","1"
"548","48x28","1"
"549","48x30","0"
"550","48x32","4"
"551","48x34","4"
"552","48x36","2"
"553","48x38","1"
"554","48x40","0"
"555","48x42","0"
"556","49x15","3"
"557","49x17","1"
"558","49x19","1"
"559","49x21","0"
"560","49x23","2"
"561","49x25","1"
"562","49x27","0"
"563","49x29","0"
"564","49x31","0"
"565","49x33","0"
"566","49x35","0"
"567","49x37","1"
"568","49x39","1"
"569","49x41","2"
"570","50x16","0"
"571","50x18","1"
"572","50x20","0"
"573","50x22","2"
"574","50x24","1"
"575","50x26","0"
"576","50x28","1"
"577","50x30","0"
"578","50x32","2"
"579","50x34","0"
"580","50x36","1"
"581","50x38","1"
"582","50x40","1"
"583","50x42","1"
"584","51x17","5"
"585","51x19","0"
"586","51x21","0"
"587","51x23","2"
"588","51x25","1"
"589","51x27","0"
"590","51x29","1"
"591","51x31","0"
"592","51x33","0"
"593","51x35","0"
"594","51x37","0"
"595","51x39","1"
"596","51x41","4"
"597","51x43","0"
"598","52x18","0"
"599","52x20","3"
"600","52x22","0"
"601","52x24","0"
"602","52x26","2"
"603","52x28","3"
"604","52x30","0"
"605","52x32","0"
"606","52x34","4"
"607","52x36","2"
"608","52x38","3"
"609","52x40","3"
"610","52x42","2"
"611","53x19","0"
"612","53x21","0"
"613","53x23","2"
"614","53x25","0"
"615","53x27","3"
"616","53x29","2"
"617","53x31","0"
"618","53x33","4"
"619","53x35","0"
"620","53x37","3"
"621","53x39","1"
"622","53x41","0"
"623","53x43","1"
"624","54x22","0"
"625","54x24","0"
"626","54x26","0"
"627","54x28","0"
"628","54x30","0"
"629","54x32","1"
"630","54x34","0"
"631","54x36","2"
"632","54x38","0"
"633","54x40","1"
"634","54x42","1"
"635","55x25","0"
"636","55x27","3"
"637","55x29","3"
"638","55x31","0"
"639","55x33","3"
"640","55x35","2"
"641","55x37","2"
"642","55x39","0"
"643","55x41","0"
"644","56x28","0"
"645","56x30","0"
"646","56x32","0"
"647","56x34","2"
"648","56x36","0"
"649","56x38","3"
"650","56x40","0"
