"","spot_coordinates","cluster_id"
"546","43x9","0"
"547","43x11","3"
"548","43x13","0"
"549","43x15","0"
"550","43x17","0"
"551","43x19","0"
"552","43x23","1"
"553","43x25","0"
"554","43x27","2"
"555","43x29","4"
"556","43x33","1"
"557","43x35","0"
"558","43x37","2"
"559","43x39","1"
"560","43x41","0"
"561","43x43","0"
"562","43x45","1"
"563","43x47","1"
"564","43x49","0"
"565","43x51","0"
"566","43x53","2"
"567","43x55","3"
"568","43x57","0"
"569","44x4","0"
"570","44x6","1"
"571","44x8","0"
"572","44x10","0"
"573","44x14","3"
"574","44x16","2"
"575","44x18","0"
"576","44x28","0"
"577","44x34","1"
"578","44x36","0"
"579","44x38","0"
"580","44x40","1"
"581","44x42","3"
"582","44x44","3"
"583","44x46","1"
"584","44x48","1"
"585","44x50","1"
"586","44x52","0"
"587","44x54","2"
"588","44x56","0"
"589","44x58","0"
"590","45x5","0"
"591","45x7","0"
"592","45x9","0"
"593","45x15","2"
"594","45x17","0"
"595","45x33","0"
"596","45x35","0"
"597","45x37","4"
"598","45x39","0"
"599","45x41","0"
"600","45x43","0"
"601","45x45","1"
"602","45x47","0"
"603","45x49","0"
"604","45x51","0"
"605","45x53","0"
"606","45x55","3"
"607","45x57","0"
"608","46x6","1"
"609","46x8","0"
"610","46x16","4"
"611","46x34","0"
"612","46x36","4"
"613","46x38","1"
"614","46x40","0"
"615","46x42","0"
"616","46x44","0"
"617","46x46","0"
"618","46x48","2"
"619","46x50","0"
"620","46x52","0"
"621","46x54","0"
"622","46x56","2"
"623","46x58","0"
"624","47x37","0"
"625","47x39","0"
"626","47x41","0"
"627","47x43","0"
"628","47x45","1"
"629","47x47","2"
"630","47x49","0"
"631","47x51","0"
"632","47x53","1"
"633","47x55","0"
"634","47x57","0"
"635","48x38","0"
"636","48x40","0"
"637","48x42","0"
"638","48x44","0"
"639","48x46","1"
"640","48x48","0"
"641","48x50","0"
"642","48x52","1"
"643","48x54","1"
"644","48x56","1"
"645","49x41","3"
"646","49x43","0"
"647","49x45","1"
"648","49x47","0"
"649","49x49","0"
"650","49x51","1"
"651","49x53","1"
"652","49x55","1"
"653","50x42","0"
"654","50x44","1"
"655","50x46","0"
"656","50x48","0"
"657","50x50","0"
"658","50x54","0"
"659","51x43","0"
"660","51x45","0"
"661","51x47","2"
"662","51x49","0"
"663","52x46","0"
