,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Serpina1e,3.66454297294598e-32,1.21372836775761,0.652,0.064,4.93760520174742e-28,Periportal (PP) hepatocyte(Liver),Serpina1e
Apoc3,4.12119165447377e-32,2.07706835670311,1,0.195,5.55289363523796e-28,Periportal (PP) hepatocyte(Liver),Apoc3
Pgrmc1,8.19423664712479e-32,0.60119126207266,0.696,0.071,1.10409144583359e-27,Periportal (PP) hepatocyte(Liver),Pgrmc1
Crot,8.72766574423704e-32,0.630372385914137,0.696,0.07,1.1759656823785e-27,Periportal (PP) hepatocyte(Liver),Crot
Pgm2,9.86489043051021e-32,0.307996077923257,0.391,0.021,1.32919533660695e-27,Periportal (PP) hepatocyte(Liver),Pgm2
Pcyt2,1.55795385974343e-31,0.380641871717713,0.522,0.038,2.0991870306183e-27,Periportal (PP) hepatocyte(Liver),Pcyt2
Acaa2,9.62013330139312e-31,0.604697771155993,0.739,0.081,1.29621676102971e-26,Periportal (PP) hepatocyte(Liver),Acaa2
Tat,2.66914897180793e-30,0.310443514899736,0.348,0.018,3.596411324614e-26,Periportal (PP) hepatocyte(Liver),Tat
Clu,2.81840763089511e-30,0.826114543867806,0.783,0.098,3.79752244186807e-26,Periportal (PP) hepatocyte(Liver),Clu
Cyp2e1,3.36044716295098e-30,0.545635726182933,0.522,0.04,4.52786650736015e-26,Periportal (PP) hepatocyte(Liver),Cyp2e1
mt-Co1,3.76336795980101e-30,0.965222919307236,0.826,0.112,5.07076198903588e-26,Periportal (PP) hepatocyte(Liver),mt-Co1
Gstt1,6.97277289417329e-30,0.330138409891956,0.435,0.028,9.39511419760909e-26,Periportal (PP) hepatocyte(Liver),Gstt1
Fabp1,1.15321480352392e-29,1.49935606658744,1,0.199,1.55384162626813e-25,Periportal (PP) hepatocyte(Liver),Fabp1
Sord,3.41055695855412e-29,0.627895297701775,0.739,0.085,4.59538444595583e-25,Periportal (PP) hepatocyte(Liver),Sord
Gstm1,4.02902841357871e-29,0.90832163323107,0.826,0.11,5.42871288445595e-25,Periportal (PP) hepatocyte(Liver),Gstm1
Ang,5.40843449408023e-29,0.386338644354714,0.435,0.029,7.28732463732371e-25,Periportal (PP) hepatocyte(Liver),Ang
