,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Anxa7,3.57136868028808e-07,0.109558457890227,0.561,0.449,0.00344494222900588
Cyp4f15,3.94258881557448e-07,0.104836728880241,0.815,0.734,0.00380302117150314
Dcaf11,3.99361847795128e-07,0.105257091366864,0.791,0.708,0.00385224438383181
Grina,4.00894761379929e-07,0.124197838351698,0.706,0.621,0.0038670308682708
Mfsd4b1,4.70787141028997e-07,0.107671181025089,0.51,0.402,0.00454121276236571
Psma2,4.7133562599848e-07,0.127677740372042,0.576,0.484,0.00454650344838134
S1pr1,6.25766168682858e-07,0.116280262309415,0.663,0.577,0.00603614046311485
Tmem234,6.29240054721494e-07,0.101856667707684,0.502,0.399,0.00606964956784353
Plod1,6.62472676015581e-07,0.103210837766714,0.455,0.355,0.0063902114328463
Bphl,7.91950453463401e-07,0.111952563579311,0.784,0.697,0.00763915407410796
Ywhaz,8.59178276975163e-07,0.100663067244824,0.542,0.432,0.00828763365970243
Slc16a12,9.54238597096849e-07,0.105010436763768,0.571,0.474,0.0092045855075962
D8Ertd738e,1.02917990065723e-06,0.101707509975377,0.652,0.545,0.00992746932173968
Agtr1a,1.24862031047348e-06,0.101968458797446,0.661,0.549,0.0120441915148272
Dnaja1,1.76832861222822e-06,0.109995137480036,0.524,0.425,0.0170572977935534
Nqo2,2.57994363639606e-06,0.103845998321238,0.673,0.577,0.0248861363166764
Eci1,2.70343261310739e-06,0.101973056012453,0.696,0.611,0.0260773109860339
Slc17a3,2.96029826714832e-06,0.109831967118004,0.514,0.43,0.0285550370849127
Psmb6,2.97471524690946e-06,0.107387022185317,0.63,0.541,0.0286941032716886
Gpd1,3.05271323594875e-06,0.104223836711613,0.715,0.635,0.0294464718739617
Eif1a,3.26451965910039e-06,0.113396957497228,0.64,0.548,0.0314895566316823
Mettl26,5.791808732119e-06,0.103879545360122,0.766,0.705,0.0558677870300199
Faah,2.85766156079085e-05,0.102157827173896,0.573,0.488,0.275650034153886
Psma7,3.07015265951174e-05,0.101812556420653,0.651,0.574,0.296146925536503
Mtus1,4.57722207146857e-05,0.101725608453556,0.697,0.618,0.441518841013859
Hint2,5.2350183338559e-05,0.103164556448771,0.74,0.679,0.50496986848374
Oxr1,9.05728839077855e-05,0.103428613455245,0.429,0.361,0.873666038174499
AW112010,0.000996163819300075,0.183811274629961,0.391,0.35,1
9030619P08Rik,0.00678479612591188,0.113707883173968,0.339,0.296,1
Malat1,0.635696772667534,0.178672716859089,0.434,0.466,1
