,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Spp1,4.24029607925776e-56,0.476995320177397,0.401,0.191,4.09018959805203e-52
Sfxn1,9.98420170202533e-56,0.304056056164047,0.695,0.451,9.63076096177364e-52
Ass1,7.29031056087555e-55,0.206923346863809,1,0.999,7.03223356702055e-51
Cryl1,5.18815223769721e-52,0.189463961879119,0.289,0.108,5.00449164848273e-48
Apoc3,5.57301967767111e-51,0.130950471946999,1,1,5.37573478108155e-47
Got1,6.44867472791988e-51,0.241719097285133,0.975,0.933,6.22039164255152e-47
Gas2,7.54218511856538e-48,0.229159321939284,0.508,0.285,7.27519176536817e-44
Asl,6.85674529387851e-46,0.220400714573411,0.962,0.919,6.61401651047522e-42
Sdc1,7.57030337909618e-45,0.235900225976054,0.923,0.842,7.30231463947618e-41
Slc25a47,3.66582578739563e-42,0.258668904800726,0.913,0.825,3.53605555452182e-38
Ftcd,4.31683973449611e-41,0.222434351762564,0.918,0.828,4.16402360789495e-37
Mmd2,4.83923758017759e-41,0.206654870573827,0.415,0.222,4.6679285698393e-37
Cfi,5.64212884970663e-41,0.165272390719971,0.999,0.999,5.44239748842702e-37
Acly,1.13139036579454e-37,0.200093921564998,0.992,0.971,1.09133914684542e-33
Cfhr2,1.17561967220292e-37,0.146035567477391,1,1,1.13400273580694e-33
Errfi1,6.32526632223532e-37,0.219333945685903,0.975,0.939,6.10135189442819e-33
Orm1,1.20248405407809e-36,0.150301527998416,1,1,1.15991611856373e-32
Tdo2,3.79797416927981e-36,0.142901052217669,1,1,3.66352588368731e-32
C9,2.00515379689816e-35,0.18504030905564,0.973,0.935,1.93417135248796e-31
Mfsd2a,1.06338741253056e-34,0.160756255011626,0.301,0.143,1.02574349812698e-30
Foxq1,1.39728457927623e-34,0.19233012357872,0.447,0.261,1.34782070516985e-30
Tstd1,1.87562401495539e-33,0.166699501889501,0.351,0.184,1.80922692482597e-29
C3,3.61130204979511e-33,0.103771665531002,1,1,3.48346195723236e-29
Dct,5.48000865386515e-33,0.165756950332846,0.362,0.193,5.28601634751833e-29
Mug2,7.05178666846261e-33,0.176640359418434,0.981,0.965,6.80215342039903e-29
Tm4sf4,9.56398294381775e-33,0.243970821759723,0.654,0.481,9.22541794760661e-29
Abhd2,5.46773031484853e-31,0.205229562705868,0.754,0.596,5.27417266170289e-27
H2-Q10,6.07616261798467e-30,0.106228635235125,1,1,5.86106646130802e-26
Serpina12,8.72612564929045e-29,0.153234396465023,0.301,0.156,8.41722080130557e-25
BC029214,5.97710453098202e-28,0.19285435083093,0.565,0.393,5.76551503058526e-24
Ddah1,2.94655532247403e-27,0.186928034907242,0.675,0.499,2.84224726405845e-23
Hc,7.63550715558023e-27,0.139982587045639,0.999,0.996,7.36521020227269e-23
