,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Apoh1,4.24572407804499e-41,0.296731416990653,0.39,0.064,5.72068862275783e-37,Pericentral (PC) hepatocytes(Liver),Apoh
Got2,2.64042216673697e-40,0.262453434866017,0.356,0.055,3.55770482746139e-36,Pericentral (PC) hepatocytes(Liver),Got2
Mocs2,1.17279519521458e-39,0.259088747700281,0.322,0.046,1.58022424603212e-35,Pericentral (PC) hepatocytes(Liver),Mocs2
Tuba4a,2.69365125673352e-39,0.261332581207096,0.331,0.049,3.62942570332275e-35,Pericentral (PC) hepatocytes(Liver),Tuba4a
Tmem2051,5.84207349095696e-38,0.28092446723246,0.356,0.058,7.87160982171541e-34,Pericentral (PC) hepatocytes(Liver),Tmem205
Atp5g11,8.47772008692943e-38,0.453837710955824,0.593,0.162,1.14228800451287e-33,Pericentral (PC) hepatocytes(Liver),Atp5g1
Hspd1,1.79487270330585e-37,0.328625109744978,0.458,0.095,2.41841148043431e-33,Pericentral (PC) hepatocytes(Liver),Hspd1
Msrb11,2.45394036068267e-37,0.50416107487337,0.653,0.205,3.30643924198384e-33,Pericentral (PC) hepatocytes(Liver),Msrb1
Fgb1,6.31988997637282e-36,0.294703769571485,0.398,0.076,8.51541975416473e-32,Pericentral (PC) hepatocytes(Liver),Fgb
Hmgcl,1.16918145493499e-35,0.250690908291483,0.331,0.053,1.57535509237941e-31,Pericentral (PC) hepatocytes(Liver),Hmgcl
Ndufa6,3.18685703915744e-35,0.429302610200844,0.61,0.176,4.29397117456073e-31,Pericentral (PC) hepatocytes(Liver),Ndufa6
Ndufb6,1.19176001228474e-32,0.326244489659732,0.475,0.114,1.60577744055245e-28,Pericentral (PC) hepatocytes(Liver),Ndufb6
Sod1,2.79253072347668e-32,0.503851439303628,0.771,0.324,3.76265589681248e-28,Pericentral (PC) hepatocytes(Liver),Sod1
Hint21,2.14373114257524e-31,0.252748837515704,0.322,0.057,2.88846334150588e-27,Pericentral (PC) hepatocytes(Liver),Hint2
Ptms,2.45711151861324e-31,0.355777192802998,0.517,0.14,3.31071206017948e-27,Pericentral (PC) hepatocytes(Liver),Ptms
Atp5j3,1.81829367498782e-30,0.490824145525258,0.695,0.278,2.44996889767858e-26,Pericentral (PC) hepatocytes(Liver),Atp5j
Atp5a1,5.40539771449368e-30,0.434667480443945,0.754,0.301,7.28323288050879e-26,Pericentral (PC) hepatocytes(Liver),Atp5a1
Chp11,4.05601556599412e-29,0.301243187454315,0.39,0.088,5.46507537362047e-25,Pericentral (PC) hepatocytes(Liver),Chp1
Mrpl15,6.73168216421269e-27,0.254785525677587,0.314,0.062,9.07026854806018e-23,Pericentral (PC) hepatocytes(Liver),Mrpl15
Slc25a391,1.02197470113223e-26,0.275223011808864,0.381,0.089,1.37700871230557e-22,Pericentral (PC) hepatocytes(Liver),Slc25a39
Lgals91,1.56692237263012e-26,0.385732495011235,0.551,0.181,2.11127120488182e-22,Pericentral (PC) hepatocytes(Liver),Lgals9
Pygl,8.91200182859738e-26,0.269619999023802,0.331,0.071,1.20080312638521e-21,Pericentral (PC) hepatocytes(Liver),Pygl
Atp5d,1.39198879279903e-25,0.374507366709117,0.627,0.231,1.87556569941741e-21,Pericentral (PC) hepatocytes(Liver),Atp5d
Tmem256,3.79188008861221e-25,0.298366670163702,0.449,0.125,5.1091792313961e-21,Pericentral (PC) hepatocytes(Liver),Tmem256
Ndufb91,4.73070851496871e-25,0.361263115901625,0.508,0.162,6.37415665306884e-21,Pericentral (PC) hepatocytes(Liver),Ndufb9
Sdha,2.6143024609357e-24,0.281223553513541,0.407,0.108,3.52251113586476e-20,Pericentral (PC) hepatocytes(Liver),Sdha
Atp5f11,7.25439995916222e-24,0.370451552962141,0.644,0.256,9.77457850497518e-20,Pericentral (PC) hepatocytes(Liver),Atp5f1
Cox6c1,2.43047465491915e-23,0.435601641576647,0.712,0.333,3.27482155003806e-19,Pericentral (PC) hepatocytes(Liver),Cox6c
Atp5b1,2.54538410242837e-23,0.425801428735177,0.72,0.337,3.42965053961198e-19,Pericentral (PC) hepatocytes(Liver),Atp5b
Rps27l,4.52413410052016e-22,0.360152189109458,0.585,0.227,6.09581828704087e-18,Pericentral (PC) hepatocytes(Liver),Rps27l
Atp5g3,5.71212647226636e-22,0.328892996694103,0.559,0.203,7.69651920873169e-18,Pericentral (PC) hepatocytes(Liver),Atp5g3
Cox7b,1.40357744943971e-21,0.38231982892413,0.619,0.262,1.89118025537506e-17,Pericentral (PC) hepatocytes(Liver),Cox7b
Cox6b1,2.00192866209321e-21,0.443823381189653,0.78,0.408,2.6973986793044e-17,Pericentral (PC) hepatocytes(Liver),Cox6b1
Sdhb,4.16173667201392e-21,0.275102075067271,0.373,0.103,5.60752399187155e-17,Pericentral (PC) hepatocytes(Liver),Sdhb
Aes,9.87866009733514e-21,0.306033615776947,0.458,0.151,1.33105066151494e-16,Pericentral (PC) hepatocytes(Liver),Aes
Gsto11,2.48238556961861e-20,0.300009381005386,0.398,0.12,3.34476631650411e-16,Pericentral (PC) hepatocytes(Liver),Gsto1
Tpi1,2.96194662184665e-20,0.270541280819117,0.432,0.136,3.99092687827617e-16,Pericentral (PC) hepatocytes(Liver),Tpi1
Atp5h,3.05381432562758e-20,0.331009820910844,0.678,0.302,4.1147094223506e-16,Pericentral (PC) hepatocytes(Liver),Atp5h
Uqcr10,3.23197020377851e-20,0.318531248427555,0.449,0.15,4.35475665257116e-16,Pericentral (PC) hepatocytes(Liver),Uqcr10
Cox7c,4.24914352290202e-20,0.343308049769157,0.542,0.21,5.72529598275818e-16,Pericentral (PC) hepatocytes(Liver),Cox7c
Uqcrb,7.70757191359479e-20,0.387620810699429,0.669,0.318,1.03851823963776e-15,Pericentral (PC) hepatocytes(Liver),Uqcrb
Atp5o,5.08856339685494e-19,0.310018520378977,0.517,0.195,6.85633032092235e-15,Pericentral (PC) hepatocytes(Liver),Atp5o
Atp5e,6.43173811079549e-18,0.331101520639733,0.568,0.242,8.66612393048584e-14,Pericentral (PC) hepatocytes(Liver),Atp5e
Atp5c11,1.18562130510741e-17,0.359897487885846,0.61,0.279,1.59750614650173e-13,Pericentral (PC) hepatocytes(Liver),Atp5c1
