"","spot_coordinates","cluster_id"
"418","47x23","0"
"419","47x25","1"
"420","47x27","1"
"421","47x29","3"
"422","47x31","0"
"423","47x33","4"
"424","47x35","1"
"425","47x37","0"
"426","47x39","0"
"427","47x41","0"
"428","47x43","2"
"429","48x20","2"
"430","48x22","1"
"431","48x24","1"
"432","48x26","1"
"433","48x28","2"
"434","48x30","0"
"435","48x32","1"
"436","48x34","1"
"437","48x36","1"
"438","48x38","0"
"439","48x40","0"
"440","48x42","3"
"441","49x21","0"
"442","49x23","1"
"443","49x25","3"
"444","49x27","0"
"445","49x29","3"
"446","49x31","0"
"447","49x33","1"
"448","49x35","1"
"449","49x37","0"
"450","49x39","0"
"451","49x41","1"
"452","50x22","0"
"453","50x24","1"
"454","50x26","1"
"455","50x28","1"
"456","50x30","0"
"457","50x32","3"
"458","50x34","1"
"459","50x36","1"
"460","50x38","1"
"461","51x23","0"
"462","51x25","0"
"463","51x27","1"
"464","51x29","1"
"465","51x31","0"
"466","51x33","1"
"467","51x35","3"
"468","51x37","1"
"469","52x22","0"
"470","52x24","0"
"471","52x26","1"
"472","52x28","1"
"473","52x30","0"
"474","52x32","0"
"475","52x34","0"
"476","53x23","0"
"477","53x25","1"
"478","53x27","1"
"479","53x29","1"
"480","53x31","0"
"481","54x24","0"
"482","54x26","0"
"483","54x28","1"
"484","54x30","0"
"485","55x25","1"
"486","55x27","0"
"487","55x29","1"
