	B cell_Fcmr high(Liver)	B cell_Jchain high(Liver)	Dendritic cell_Cst3 high(Liver)	Dendritic cell_Siglech high(Liver)	Endothelial cell(Liver)	Epithelia cell_Spp1 high(Liver)	Epithelial cell(Liver)	Erythroblast_Hbb-bs high(Liver)	Erythroblast_Hbb-bt high(Liver)	Granulocyte(Liver)	Hepatocyte_Fabp1 high(Liver)	Hepatocyte_mt-Nd4 high(Liver)	Kuppfer cell(Liver)	Macrophage_Chil3 high(Liver)	Neutrophil_Ngp high(Liver)	Pericentral (PC) hepatocytes(Liver)	Periportal (PP) hepatocyte(Liver)	Stromal cell(Liver)	T cell_Gzma high(Liver)	T cell_Trbc2 high(Liver)
16x34	2.6564104e-10	2.6553873e-10	2.6520364e-10	2.6528713e-10	2.6572516e-10	2.6575814e-10	2.6566133e-10	2.652254e-10	2.6547847e-10	2.654243e-10	2.656071e-10	0.013482796	2.6569782e-10	2.6521732e-10	2.6534228e-10	0.5783986	0.4081186	2.6552152e-10	2.655686e-10	2.6563599e-10
16x36	1.7190835e-10	1.7185063e-10	1.7160007e-10	1.717864e-10	1.716004e-10	1.7191293e-10	1.7181392e-10	1.715199e-10	1.7159155e-10	0.005386207	1.7186767e-10	1.7176675e-10	0.006496404	1.716865e-10	1.7162298e-10	0.46997416	0.5181433	1.7183424e-10	1.7194506e-10	1.7180049e-10
16x38	1.4691767e-10	1.4714512e-10	1.4722512e-10	1.4694908e-10	0.0088638365	1.4717627e-10	1.4700682e-10	1.471788e-10	1.4689301e-10	1.4691795e-10	1.469457e-10	1.4714512e-10	1.4711621e-10	1.4689945e-10	1.4715662e-10	0.35920975	0.6319265	1.4708507e-10	1.4720575e-10	1.4690142e-10
16x40	1.2254314e-10	1.2259621e-10	1.225747e-10	1.2239972e-10	0.002808848	1.2238431e-10	1.222947e-10	1.2245575e-10	1.2260369e-10	1.2249617e-10	1.2255179e-10	1.2246955e-10	0.0054856855	1.2245178e-10	1.2246604e-10	0.47846684	0.5132387	1.2242166e-10	1.2246416e-10	1.2246323e-10
16x42	2.8510053e-10	2.8566338e-10	2.8552066e-10	2.8547492e-10	2.8521313e-10	2.8486627e-10	2.8531055e-10	2.8574948e-10	2.853873e-10	2.8506086e-10	2.857293e-10	2.8500488e-10	2.8524197e-10	2.8506303e-10	2.8552125e-10	0.38076913	0.60791844	2.8522948e-10	0.01131242	2.8523217e-10
16x44	1.4263914e-10	1.4269029e-10	1.426405e-10	1.4244013e-10	1.4268785e-10	1.4264757e-10	1.4266065e-10	1.4269656e-10	1.4265139e-10	1.4265056e-10	1.4273605e-10	1.426454e-10	1.424184e-10	1.4254477e-10	1.4245398e-10	0.45352602	0.5464739	1.4266445e-10	1.425967e-10	1.4274829e-10
16x46	1.455755e-10	1.458017e-10	1.4582367e-10	1.4584427e-10	1.4554802e-10	1.4568216e-10	1.4555357e-10	1.4579309e-10	1.4594861e-10	1.4572607e-10	1.4570635e-10	1.4586958e-10	1.4595e-10	1.4589989e-10	1.458398e-10	0.5894262	0.41057375	1.4585345e-10	1.457967e-10	1.4595e-10
16x48	1.5474413e-10	1.5479461e-10	1.5467626e-10	1.5481293e-10	1.5468689e-10	1.547161e-10	1.5473087e-10	1.5478074e-10	1.5460518e-10	1.5471935e-10	1.5480081e-10	1.5488677e-10	0.008654846	0.0033323558	1.549834e-10	0.36070406	0.62730867	1.5478548e-10	1.546916e-10	1.5460606e-10
16x50	1.352331e-10	1.3547502e-10	1.3526898e-10	1.3529942e-10	1.3537686e-10	1.3529838e-10	0.00092369074	1.3534072e-10	1.3517663e-10	1.3541095e-10	1.3537609e-10	1.3509235e-10	1.352922e-10	1.353482e-10	1.3511864e-10	0.5295998	0.46947652	1.3534794e-10	1.3518359e-10	1.3520576e-10
16x52	3.5790435e-10	3.5875938e-10	3.5801975e-10	3.577583e-10	0.012933426	3.5812694e-10	3.5778627e-10	3.579542e-10	3.580177e-10	3.579576e-10	3.5814404e-10	3.583217e-10	3.5852407e-10	3.5874023e-10	3.5859932e-10	0.5032261	0.48322693	3.5827316e-10	3.5810102e-10	0.00061352097
16x54	7.976798e-10	7.9780604e-10	7.9747287e-10	7.963922e-10	7.9698487e-10	7.968252e-10	7.960034e-10	7.973056e-10	7.963754e-10	7.96307e-10	7.9707757e-10	7.9650303e-10	7.975109e-10	7.971672e-10	7.9710183e-10	0.29919302	0.700807	7.9738927e-10	7.976433e-10	7.9626e-10
17x27	2.789599e-10	2.792708e-10	2.789546e-10	2.7869346e-10	2.7865785e-10	2.7857866e-10	2.7919358e-10	0.00790799	2.784735e-10	2.78953e-10	2.7918348e-10	0.023412775	2.7917868e-10	2.7862437e-10	2.790493e-10	0.35453293	0.61414635	2.7912436e-10	2.7885086e-10	2.7901897e-10
17x29	3.1801564e-10	3.1826683e-10	3.18432e-10	3.1879788e-10	3.1889275e-10	3.1815336e-10	3.1833425e-10	3.1854805e-10	3.1816366e-10	3.186465e-10	3.1853348e-10	3.185851e-10	3.189475e-10	3.1888242e-10	3.18998e-10	0.48712313	0.51287687	3.18911e-10	3.1825045e-10	3.1848182e-10
17x31	0.009052167	1.7702156e-10	1.7700061e-10	1.7656597e-10	1.7692332e-10	1.7690306e-10	1.7657067e-10	1.7692366e-10	1.7667749e-10	1.7663503e-10	1.7665322e-10	1.766576e-10	1.7700871e-10	1.7657743e-10	1.7693244e-10	0.43079224	0.5601556	1.769304e-10	1.7660472e-10	1.7667715e-10
17x33	1.10903176e-10	1.1088985e-10	1.1098676e-10	1.10896625e-10	1.10890276e-10	1.1075352e-10	1.1076534e-10	1.1084692e-10	1.1092497e-10	1.1075478e-10	1.10911e-10	0.0056734174	1.1075076e-10	1.1095756e-10	1.1097406e-10	0.49134082	0.49351224	0.001581454	0.007892198	1.10750555e-10
